Date,Open,High,Low,Close,Adj Close,Volume
1/3/2017,69.550003,71.400002,68.839996,70.419998,63.379086,4425000
1/4/2017,69.540001,69.910004,67.389999,67.889999,61.102051,7431000
1/5/2017,68.389999,68.389999,66.540001,67.68,60.913052,6450600
1/6/2017,67.699997,67.879997,66.629997,66.660004,59.995037,3771700
1/9/2017,66.220001,66.599998,65.449997,66.370003,59.734032,5132600
1/10/2017,66.32,67.660004,66.019997,66.529999,59.878029,5433400
1/11/2017,66.779999,67.239998,66.269997,67.080002,60.373043,3391000
1/12/2017,66.239998,66.940002,65.370003,66.519997,59.869034,4530100
1/13/2017,66.209999,66.839996,65.940002,66.389999,59.752033,3366700
1/17/2017,66.93,68.190002,65.779999,66.190002,59.572033,4942200
1/18/2017,66.199997,67.360001,66.160004,66.75,60.076035,4251400
1/19/2017,66.68,66.769997,65.529999,66.07,59.464024,3642200
1/20/2017,66.349998,66.639999,65.68,66.239998,59.617027,2911200
1/23/2017,66.519997,66.519997,65.68,66.25,59.62603,4049600
1/24/2017,66.449997,68.019997,66.169998,67.860001,61.075054,3893700
1/25/2017,68.230003,68.400002,67.300003,68.330002,61.498066,4606200
1/26/2017,68.379997,68.489998,67.199997,67.370003,60.634052,4006300
1/27/2017,67.620003,68.540001,66.709999,67.309998,60.580051,4628200
1/30/2017,67.370003,68.300003,66.610001,68.230003,61.408073,8413900
1/31/2017,67.800003,67.830002,64.449997,65.760002,59.185013,11657700
2/1/2017,66.529999,66.739998,64.809998,65.370003,58.834011,5204500
2/2/2017,65.019997,66.080002,64.620003,65.419998,58.879017,6193200
2/3/2017,65.480003,65.699997,64.830002,65.510002,58.960014,4416400
2/6/2017,65.510002,66.120003,64.910004,65.110001,58.600006,4297800
2/7/2017,65.160004,66.25,64.849998,65.440002,58.897003,4968500
2/8/2017,65.269997,67.139999,65,67.080002,60.373043,4428100
2/9/2017,67.269997,67.889999,67.199997,67.620003,60.859058,2805900
2/10/2017,67.870003,68,67.25,67.470001,60.724045,2653900
2/13/2017,66.75,67.43,66.650002,67.040001,60.969593,3367500
2/14/2017,67.230003,67.690002,66.910004,67.620003,61.497086,2512300
2/15/2017,67.669998,67.959999,67.190002,67.760002,61.624397,2572700
2/16/2017,67.57,67.610001,66.400002,66.599998,60.569435,5266500
2/17/2017,66.32,66.510002,65.110001,65.489998,59.559937,4808800
2/21/2017,65.980003,66.470001,65.529999,66.269997,60.26931,4499600
2/22/2017,66.129997,66.550003,65.739998,66.010002,60.03286,4240400
2/23/2017,66.580002,67.389999,66.540001,67.029999,60.960499,4208200
2/24/2017,66.550003,66.900002,65.830002,66.720001,60.678577,3670700
2/27/2017,66.660004,67.449997,66.339996,67.239998,61.151478,3129100
2/28/2017,67.279999,69.410004,67.220001,67.949997,61.797192,9074700
3/1/2017,68.510002,69.839996,68.190002,68.480003,62.279202,4921900
3/2/2017,68.220001,68.379997,65.93,66.449997,60.433014,7343000
3/3/2017,66.889999,67.199997,66,66.080002,60.096519,4046600
3/6/2017,65.889999,66.639999,65.43,66.440002,60.423931,3315300
3/7/2017,66.440002,66.980003,65.419998,65.620003,59.678185,5504100
