,Crude1,WTI_Midland,Brent,RBOB,Ethanol,Corn,CAD_Heavy,VIX,ULSD,OPEC_Basket,RBOB_Crack,GC_ULSD_Crack,NY_ULSD_Crack,NG_HB,S_P,VLO
2019-01-31,53.79,-0.81,60.84,1.3627,1.279,376.5,-9.55,17.125,1.8788,61.19,12.33,23.29,26.41,2.814,2704.5,84.969116
2019-02-01,55.26,-1.07,62.75,1.4369,1.303,378.25,-9.4,17.025,1.9127,60.96,13.0,23.27,24.98,2.734,2704.2,82.492226
2019-02-04,54.56,-1.6,62.51,1.4323,1.32,379.25,-9.688,16.525,1.9074,62.33,13.02,23.27,25.42,2.66,2721.2,82.037483
2019-02-05,53.66,-1.85,61.98,1.4259,1.32,380.75,-9.592,16.525,1.8975,62.07,13.52,23.64,25.85,2.662,2731.1,83.169495
2019-02-06,54.01,-1.81,62.69,1.4591,1.307,380.0,-9.484,16.375,1.9122,62.3,14.31,23.76,26.08,2.662,2729.4,83.130798
2019-02-07,52.64,-1.61,61.63,1.4258,1.293,376.5,-9.858,17.175,1.9005,61.57,14.4,24.5,26.76,2.551,2704.1,81.18605
2019-02-08,52.72,-1.37,62.1,1.4464,1.308,374.25,-10.319,16.625,1.9085,61.37,15.0,24.68,26.95,2.583,2706.3,81.40857700000001
2019-02-11,52.41,-1.2,61.51,1.4192,1.318,372.75,-10.161,16.225,1.8922,61.4,14.38,24.25,26.69,2.642,2708.3,80.63454399999999
2019-02-12,53.1,-0.92,62.42,1.4272,1.329,378.25,-10.107,15.625,1.9072,61.88,14.28,24.2,26.66,2.688,2744.8,80.526962
2019-02-13,53.9,-0.52,63.61,1.4651,1.341,378.75,-10.09,16.675,1.9388,62.94,14.88,24.54,26.95,2.575,2749.6,81.63221
2019-02-14,54.41,-0.28,64.57,1.5085,1.326,374.75,-10.09,16.925,1.9716,64.28,15.74,25.0,27.41,2.573,2743.4,81.778931
2019-02-15,55.59,-0.28,66.25,1.5729,1.329,374.75,-10.09,16.325,2.0203,64.87,16.83,25.48,27.82,2.625,2777.1,82.55162800000001
2019-02-19,56.09,-0.02,66.45,1.5638,1.314,369.75,-14.5,16.325,1.9946,65.79,16.29,24.78,27.17,2.662,2778.7,82.93309
2019-02-20,56.92,-0.01,67.08,1.5981,1.327,370.75,-13.0,15.575,2.0183,65.97,16.78,24.87,27.26,2.636,2787.0,83.559067
2019-02-21,56.96,-0.04,67.07,1.6144,1.344,375.5,-12.8,15.875,2.0363,66.5,17.12,25.17,27.56,2.697,2774.2,82.629875
2019-02-22,57.26,-0.13,67.12,1.6112,1.346,375.25,-12.8,15.175,2.0311,66.56,16.79,25.03,27.42,2.717,2791.2,83.451477
2019-02-25,55.48,-0.39,64.76,1.5452,1.34,370.5,-12.85,15.575,1.9746,65.36,15.93,24.93,27.3,2.836,2797.1,83.118927
2019-02-26,55.5,-0.21,65.21,1.5863,1.337,366.25,-11.95,15.725,1.9985,64.08,16.76,25.11,27.46,2.855,2791.5,82.561409
2019-02-27,56.94,-0.47,66.39,1.634,1.339,363.75,-11.9,15.675,2.0216,64.97,16.87,25.03,27.4,2.799,2795.1,81.270309
2019-02-28,57.22,-0.53,66.31,1.6293,1.327,362.0,-11.75,15.575,2.0235,65.28,16.25,25.04,27.4,2.812,2784.7,79.77381899999999
2019-03-01,55.8,-0.61,65.07,1.7303,1.338,364.0,-10.36,14.825,2.001,65.32,16.74,25.03,28.11,2.859,2805.0,81.074699
2019-03-04,56.59,-0.46,65.67,1.749,1.342,365.0,-10.716,15.275,2.0143,64.86,16.74,25.03,27.9,2.857,2791.6,80.72258000000001
2019-03-05,56.56,-0.46,65.86,1.7674,1.335,366.0,-10.836,15.475,2.0164,64.98,17.47,25.79,28.01,2.884,2791.5,79.372803
2019-03-06,56.22,-0.3,65.99,1.789,1.344,362.5,-10.911,16.075,2.0162,65.04,18.53,26.06,28.28,2.841,2771.4,79.56841999999999
2019-03-07,56.66,-0.15,66.3,1.8054,1.318,356.0,-10.993,16.725,2.0127,65.57,18.74,25.56,27.82,2.866,2750.0,78.825066
2019-03-08,56.07,-0.11,65.74,1.8017,1.299,354.75,-10.982,16.675,1.9998,64.78,19.08,25.65,27.85,2.865,2747.0,78.00346400000001
2019-03-11,56.79,-0.01,66.58,1.826,1.293,352.5,-10.983,15.025,1.9942,66.01,19.31,24.98,27.19,2.772,2784.0,81.651779
2019-03-12,56.87,-0.07,66.67,1.8155,1.311,356.5,-10.708,14.475,1.9857,66.3,18.95,24.67,26.89,2.784,2792.1,82.013672
2019-03-13,58.26,-0.17,67.55,1.8568,1.33,357.25,-10.739,14.075,1.9921,66.6,19.17,23.98,26.19,2.82,2814.5,82.37557199999999
2019-03-14,58.61,-0.2,67.23,1.8495,1.355,361.5,-10.665,13.925,1.9849,67.29,18.8,23.65,25.83,2.855,2807.3,83.079803
2019-03-15,58.52,-0.22,67.16,1.8577,1.382,373.25,-10.604,13.475,1.9677,66.91,19.03,23.37,25.5,2.795,2811.89,83.216736
2019-03-18,59.09,-0.27,67.54,1.8828,1.424,371.5,-10.604,12.925,1.969,66.87,19.26,23.14,25.26,2.85,2840.6,84.85015899999999
2019-03-19,59.03,-0.26,67.61,1.8931,1.409,371.25,-10.604,15.125,1.9904,67.25,19.49,23.64,25.69,2.874,2836.5,84.537163
2019-03-20,59.83,-0.31,68.5,1.9166,1.408,371.5,-10.5,15.325,2.0081,67.54,19.5,23.57,25.61,2.82,2827.0,84.546951
2019-03-21,59.98,-0.36,67.86,1.9203,1.408,376.25,-9.6,15.075,1.9871,67.78,19.64,23.34,25.4,2.821,2862.6,84.488258
2019-03-22,59.04,-0.36,67.03,1.9259,1.419,378.25,-9.5,16.725,1.9659,66.67,19.98,23.34,25.42,2.753,2810.7,82.776588
2019-03-25,58.82,-0.33,67.21,1.9379,1.418,379.75,-9.05,16.825,1.9804,66.19,20.15,23.53,25.61,2.755,2807.0,83.607979
2019-03-26,59.94,-0.41,67.97,1.9557,1.41,377.25,-9.15,15.925,1.9899,67.03,20.09,23.41,25.48,2.74,2823.0,85.09468100000001
2019-03-27,59.41,-0.41,67.83,1.8955,1.373,373.75,-9.3,16.225,1.9806,67.15,19.8,23.43,25.49,2.713,2810.5,84.136147
2019-03-28,59.3,-0.38,67.82,1.8799,1.38,374.0,-9.3,15.625,1.972,66.38,19.74,23.4,25.47,2.712,2821.0,82.972206
2019-03-29,60.14,-0.36,67.58,1.8956,1.345,356.5,-9.4,15.225,1.9734,67.23,19.73,23.37,25.44,2.662,2837.8,82.972206
2019-04-01,61.59,-0.34,69.01,1.8989,1.338,361.75,-8.206,14.875,1.9881,68.31,18.13,23.36,21.88,2.708,2870.5,84.537163
2019-04-02,62.58,-0.34,69.37,1.9285,1.328,361.5,-8.2,14.875,2.0089,68.83,18.4,23.36,21.79,2.684,2867.1,82.600525
2019-04-03,62.46,-1.06,69.31,1.9512,1.31,362.75,-8.196,14.875,2.0068,69.12,19.36,19.77,21.81,2.677,2879.8,82.414688
2019-04-04,62.1,-1.17,69.4,1.9399,1.304,365.25,-8.296,14.775,2.0134,68.76,19.25,20.35,22.35,2.643,2882.7,82.502716
2019-04-05,63.08,-1.37,70.34,1.9687,1.302,362.5,-8.234,14.325,2.0424,69.02,19.44,20.51,22.54,2.664,2896.0,84.791481
2019-04-08,64.4,-1.55,71.1,1.988,1.315,360.0,-8.229,14.475,2.0571,70.33,19.1,20.01,22.05,2.708,2898.3,84.312202
2019-04-09,63.98,-2.0,70.61,1.999,1.308,360.0,-8.366,15.075,2.0449,70.35,19.71,19.95,21.97,2.699,2882.6,83.246078
2019-04-10,64.61,-2.55,71.73,2.0692,1.327,361.75,-8.517,14.425,2.0876,70.31,21.24,20.68,22.73,2.7,2894.5,86.49337
2019-04-11,63.58,-3.16,70.83,2.0309,1.337,360.0,-8.592,13.825,2.0672,70.41,20.87,20.75,22.83,2.664,2891.8,87.090012
2019-04-12,63.89,-3.23,71.55,2.037,1.33,361.0,-8.59,12.775,2.0707,70.44,20.83,20.59,22.72,2.66,2912.5,86.47380799999999
2019-04-15,63.4,-2.99,71.18,2.0118,1.335,362.75,-8.609,12.575,2.061,70.21,20.52,20.62,22.76,2.59,2909.5,85.730453
2019-04-16,64.05,-3.12,71.72,2.0317,1.323,359.0,-8.609,12.575,2.0822,70.11,20.61,20.74,22.87,2.572,2911.4,86.38578000000001
2019-04-17,63.76,-3.42,71.62,2.0418,1.332,358.25,-8.609,14.625,2.0692,70.81,20.93,20.65,22.78,2.517,2900.4,87.461685
2019-04-18,64.0,-3.29,71.97,2.0722,1.333,358.5,-10.6,14.425,2.0709,70.83,21.34,20.59,22.73,2.49,2909.9,86.111908
2019-04-22,65.7,-3.29,74.04,2.1298,1.334,354.75,-10.6,14.175,2.104,72.44,21.64,20.55,22.68,2.524,2912.6,89.153801
2019-04-23,66.3,-3.3,74.51,2.1316,1.331,351.25,-11.75,14.125,2.118,73.37,21.45,20.52,22.64,2.455,2938.1,88.302849
2019-04-24,65.89,-3.44,74.57,2.1285,1.303,346.75,-12.15,14.575,2.0987,73.43,21.52,20.45,22.54,2.462,2930.8,85.808701
2019-04-26,63.3,-3.67,72.15,2.1006,1.342,351.25,-12.45,14.325,2.0512,72.38,21.75,20.55,22.66,2.566,2941.5,88.107231
2019-04-29,63.5,-3.68,72.04,2.0828,1.336,352.0,-12.45,14.525,2.0549,71.07,21.66,20.53,22.65,2.593,2942.9,87.637741
2019-04-30,63.91,-3.68,72.06,2.1232,1.32,353.25,-12.45,14.425,2.0812,71.91,21.73,20.55,22.68,2.575,2948.5,88.67453
2019-05-01,63.6,-3.7,72.18,2.0642,1.312,360.0,-12.282,15.225,2.0942,72.0,23.07,20.56,24.33,2.62,2923.1,87.804024
2019-05-02,61.81,-3.7,70.75,2.0183,1.319,362.0,-12.169,15.175,2.0778,70.98,22.94,20.56,25.38,2.589,2917.6,86.317307
2019-05-03,61.94,-2.98,70.85,2.0265,1.319,363.0,-12.455,14.275,2.0702,70.61,23.13,23.03,24.97,2.567,2947.6,86.503151
2019-05-06,62.25,-3.1,71.24,1.9966,1.325,355.75,-12.971,15.525,2.0676,70.23,21.76,22.65,24.59,2.524,2932.4,84.498047
2019-05-07,61.4,-3.72,69.88,1.9487,1.332,358.0,-12.865,17.875,2.0376,70.45,20.82,22.27,24.26,2.537,2890.8,82.512505
2019-05-08,62.12,-3.81,70.37,1.975,1.324,355.25,-12.813,18.175,2.0562,69.88,21.12,22.27,24.32,2.61,2887.2,80.595428
2019-05-09,61.7,-3.7,70.39,1.9754,1.3,344.5,-12.913,17.975,2.0436,69.66,21.43,22.17,24.23,2.595,2872.7,79.949883
2019-05-10,61.66,-3.3,70.62,1.9891,1.3,342.5,-12.971,16.125,2.0504,70.66,21.85,22.43,24.45,2.619,2886.9,81.896301
2019-05-13,61.04,-3.25,70.23,1.9637,1.305,347.5,-13.14,19.525,2.0384,71.21,21.55,22.45,24.51,2.621,2807.1,79.627113
2019-05-14,61.78,-3.38,71.24,1.9767,1.333,360.5,-13.244,18.125,2.0589,70.66,21.43,22.49,24.58,2.659,2839.2,82.05024
2019-05-15,62.02,-3.21,71.77,2.0127,1.329,369.5,-13.138,16.925,2.0863,71.26,22.11,22.98,25.06,2.601,2855.0,82.45575
2019-05-16,62.87,-3.21,72.62,2.0618,1.342,379.0,-13.094,15.725,2.1232,72.61,22.74,23.39,25.43,2.639,2878.6,84.532715
2019-05-17,62.76,-3.04,72.21,2.0473,1.364,383.25,-13.094,15.875,2.0955,72.57,22.51,22.89,24.95,2.631,2862.0,82.792015
2019-05-20,63.1,-2.9,71.97,2.0099,1.38,389.0,-13.094,16.125,2.0736,72.47,21.75,22.36,24.45,2.673,2843.9,81.179893
2019-05-21,62.99,-2.8,72.18,2.0193,1.392,394.25,-15.75,15.025,2.0794,71.71,21.92,22.48,24.57,2.613,2866.1,81.565613
2019-05-22,61.42,-2.63,70.99,1.9912,1.367,394.5,-15.75,16.225,2.0491,71.03,22.1,22.63,24.72,2.543,2857.4,79.468864
2019-05-23,57.91,-2.68,67.76,1.9133,1.35,389.75,-16.35,17.325,1.9624,68.56,22.15,22.57,24.67,2.578,2819.4,74.583038
2019-05-24,58.63,-2.53,68.69,1.9345,1.397,404.25,-16.35,16.725,1.9713,67.4,22.19,22.5,24.6,2.598,2831.8,75.384155
2019-05-28,59.14,-2.47,70.11,1.9567,1.481,420.25,-17.3,17.375,1.9925,68.84,22.28,22.57,24.67,2.582,2805.1,74.266541
2019-05-29,58.81,-2.51,69.45,1.9452,1.47,418.75,-16.5,17.775,1.9675,67.75,22.25,22.48,24.57,2.633,2780.1,74.03907
2019-05-30,56.59,-2.53,66.87,1.8786,1.52,436.25,-16.6,17.425,1.915,67.1,22.2,22.49,24.57,2.547,2790.4,72.070892
2019-05-31,53.5,-2.54,61.99,1.802,1.517,427.0,-15.15,18.175,1.8418,64.15,22.19,22.5,24.57,2.454,2752.6,69.627975
2019-06-03,53.25,-2.55,61.28,1.7413,1.513,424.25,-13.47,18.275,1.8065,61.61,19.84,22.5,22.58,2.403,2749.6,71.21043399999999
2019-06-04,53.48,-2.55,61.97,1.7242,1.513,425.25,-13.25,17.225,1.8215,61.63,18.94,22.5,22.96,2.416,2804.9,73.040138
2019-06-05,51.68,-0.32,60.63,1.6928,1.513,414.75,-13.4,16.625,1.78,61.04,19.38,21.09,23.01,2.378,2827.7,72.337929
2019-06-06,52.59,-0.27,61.67,1.7076,1.488,420.5,-14.0,16.475,1.7883,60.88,19.13,20.66,22.54,2.324,2845.7,73.653343
2019-06-07,53.99,-0.37,63.29,1.7389,1.482,415.75,-13.838,16.725,1.8248,62.71,19.05,20.76,22.64,2.337,2874.9,73.9105
2019-06-10,53.26,-0.39,62.29,1.7303,1.473,415.75,-13.623,16.375,1.8063,63.01,19.32,20.67,22.58,2.357,2889.2,75.028099
2019-06-11,53.27,-0.51,62.29,1.7563,1.515,427.75,-13.348,16.475,1.8221,62.56,20.06,21.07,23.03,2.399,2886.9,75.522621
2019-06-12,51.14,-0.57,59.97,1.6861,1.512,430.0,-13.073,16.325,1.7799,61.01,19.53,21.3,23.26,2.386,2881.0,75.661079
2019-06-13,52.28,-0.6,61.31,1.7199,1.549,442.0,-12.966,16.125,1.8066,61.51,19.69,21.28,23.25,2.325,2894.4,76.41275
2019-06-14,52.51,-0.59,62.01,1.7325,1.61,453.0,-12.876,15.775,1.8294,61.25,19.85,21.74,23.65,2.387,2890.6,75.918236
2019-06-17,51.93,-0.57,60.94,1.6908,1.603,454.75,-12.876,15.275,1.7995,61.6,19.28,21.38,23.32,2.386,2891.9,76.086365
2019-06-18,53.9,-0.49,62.14,1.7214,1.6,449.75,-12.876,15.075,1.8278,61.43,18.98,21.01,22.97,2.328,2921.7,76.946831
2019-06-19,53.76,-0.52,61.82,1.7355,1.563,441.0,-13.75,15.875,1.8294,62.21,19.27,21.12,23.06,2.276,2929.1,77.302879
2019-06-20,56.65,-0.54,64.45,1.7863,1.592,450.0,-13.65,16.125,1.8843,63.95,18.94,20.83,22.79,2.185,2955.7,78.875443
2019-06-21,57.43,-0.53,65.2,1.8561,1.575,442.25,-13.65,16.525,1.9158,65.29,19.72,21.09,23.08,2.186,2950.6,81.01175699999999
2019-06-24,57.9,-0.53,64.86,1.8549,1.575,446.75,-13.2,16.275,1.9089,65.05,19.59,20.94,22.89,2.303,2952.1,79.874367
2019-06-25,57.83,-0.55,65.05,1.8772,1.58,447.5,-12.95,16.675,1.9234,64.79,19.79,21.11,23.02,2.308,2922.1,80.734825
2019-06-26,59.38,-0.63,66.49,1.9704,1.567,443.25,-13.0,16.525,1.9713,65.6,20.14,21.17,23.09,2.291,2917.9,83.998634
2019-06-27,59.43,-0.6,66.55,1.9466,1.561,440.0,-13.0,16.075,1.9525,65.61,20.04,21.1,23.01,2.324,2930.9,83.00960500000001
2019-06-28,58.47,-0.57,64.74,1.9425,1.505,420.25,-13.3,15.525,1.9446,65.6,20.08,21.14,23.04,2.308,2944.2,84.671181
